round,loss,accuracy,f1_score,precision,recall,dp_noise_scale
1,0.5200768775939941,0.7609999775886536,0.6248037676176357,0.45537757437060516,0.9949999999995026,0.016149350875351298
2,0.17524720597267152,0.9359999895095825,0.8538812784887994,0.7857142857139556,0.9349999999995325,0.016149350875351298
3,0.2000085266828537,0.9039999842643738,0.7999999999510556,0.6857142857140408,0.95999999999952,0.016149350875351298
4,0.14379620385169983,0.949999988079071,0.8626373625873778,0.957317073170148,0.7849999999996076,0.016149350875351298
5,0.1494868949651718,0.9520000219345093,0.8846153845650334,0.8518518518514575,0.9199999999995401,0.016149350875351298
6,0.13411529862880706,0.9520000219345093,0.87999999994956,0.87999999999956,0.87999999999956,0.016149350875351298
7,0.1325895618200302,0.949999988079071,0.8717948717444577,0.8947368421047923,0.8499999999995751,0.016149350875351298
8,0.1274146716594696,0.9539999961853027,0.8832487309140303,0.8969072164943831,0.869999999999565,0.016149350875351298
9,0.17250734746456145,0.9459999799728394,0.8714285713782698,0.8318181818178038,0.9149999999995425,0.016149350875351298
10,0.13781147742271424,0.9509999752044678,0.8733850128695018,0.9037433155075382,0.8449999999995775,0.016149350875351298
11,0.1373682507276535,0.9430000185966492,0.8429752065616254,0.9386503067478905,0.7649999999996175,0.016149350875351298
12,0.1900750563144684,0.9520000219345093,0.8840579709641229,0.8551401869154883,0.9149999999995425,0.016149350875351298
13,0.1737039535045624,0.9509999752044678,0.8778054862338518,0.8756218905468282,0.87999999999956,0.016149350875351298
14,0.14772907924652098,0.9509999752044678,0.8801955989715987,0.8612440191383439,0.89999999999955,0.016149350875351298
15,0.15649606812000275,0.9509999752044678,0.8790123456285859,0.8682926829264057,0.889999999999555,0.016149350875351298
16,0.1483184163570404,0.9480000138282776,0.8624338623835754,0.9157303370781373,0.8149999999995926,0.016149350875351298
17,0.1783964422941208,0.9509999752044678,0.8813559321530127,0.8544600938963125,0.9099999999995451,0.016149350875351298
18,0.14106189560890198,0.9570000171661377,0.8922305763906558,0.8944723618085958,0.889999999999555,0.016149350875351298
19,0.14136174654960632,0.9490000009536743,0.8695652173408862,0.8900523560204765,0.8499999999995751,0.016149350875351298
20,0.1734463860988617,0.953000009059906,0.8839506172335218,0.8731707317068912,0.8949999999995526,0.016149350875351298
21,0.1461193163394928,0.9470000267028809,0.8623376622872903,0.8972972972968123,0.8299999999995851,0.016149350875351298
22,0.1510382616519928,0.949999988079071,0.8768472905899731,0.8640776699024932,0.889999999999555,0.016149350875351298
23,0.20143094384670257,0.949999988079071,0.8798076922573432,0.8472222222218301,0.9149999999995425,0.016149350875351298
24,0.1538167462348938,0.9509999752044678,0.878411910619542,0.8719211822655804,0.8849999999995576,0.016149350875351298
25,0.15736132168769837,0.9490000009536743,0.8682170542131737,0.8983957219246533,0.8399999999995801,0.016149350875351298
26,0.18852963292598723,0.9449999928474426,0.8641975308137784,0.8536585365849495,0.8749999999995626,0.016149350875351298
27,0.17292437636852265,0.949999988079071,0.8743718592460443,0.878787878787435,0.869999999999565,0.016149350875351298
28,0.16641489350795746,0.9480000138282776,0.8686868686364352,0.8775510204077156,0.8599999999995701,0.016149350875351298
